GeoName,State,Description,Unit,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Minnesota,MN,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,223846.7 ,231480.8 ,247296.8 ,247001.6 ,252674.8 ,263658.3 ,274834.1 ,282487.5 ,282580.8 ,283857.8 ,286093.3 ,276033.2 ,285746.3 ,292275.1 ,296272.5 ,303222.5 ,312084.0 ,316863.3 ,321980.0 ,327667.5 ,337215.9 ,341041.4 
Mississippi,MS,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,85301.7 ,87641.0 ,88089.1 ,87345.8 ,88354.0 ,92036.3 ,93754.3 ,95499.9 ,97973.5 ,100386.4 ,104471.7 ,99784.7 ,100043.3 ,98765.3 ,99616.3 ,99456.4 ,99501.2 ,100013.6 ,100412.1 ,101071.7 ,102061.7 ,102656.4 
Missouri,MO,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,232133.8 ,238759.9 ,245259.5 ,243468.1 ,246885.3 ,253103.3 ,258558.8 ,263282.4 ,264421.0 ,264552.9 ,271729.6 ,264872.5 ,269057.9 ,266254.6 ,268861.9 ,271475.9 ,272786.8 ,276316.7 ,276210.9 ,279264.3 ,284696.3 ,287659.3 
Montana,MT,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,30477.6 ,30588.8 ,31369.8 ,31573.4 ,32514.1 ,33860.3 ,35323.0 ,37078.1 ,38473.9 ,40401.9 ,40112.7 ,39388.1 ,40595.1 ,41511.3 ,42041.6 ,42429.7 ,43285.1 ,45042.5 ,44580.7 ,45480.6 ,46627.5 ,47916.3 
Nebraska,NE,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,72421.4 ,73893.4 ,76663.0 ,78425.4 ,79684.7 ,84099.1 ,86116.1 ,89082.3 ,91535.2 ,93581.2 ,94070.1 ,94343.4 ,97830.1 ,102685.1 ,102605.3 ,103974.8 ,107394.4 ,110752.9 ,111611.7 ,113754.2 ,115087.9 ,117395.2 
Nevada,NV,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,94699.9 ,101215.2 ,105454.6 ,106669.9 ,110165.0 ,115128.3 ,127760.6 ,138796.4 ,144601.7 ,144315.1 ,138588.7 ,127108.7 ,128878.9 ,129748.1 ,127789.1 ,128341.2 ,129405.2 ,134892.2 ,138638.9 ,143590.9 ,149663.0 ,153728.6 
New Hampshire,NH,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,51616.7 ,53051.7 ,56718.8 ,57429.2 ,59057.6 ,61610.0 ,63497.8 ,64350.0 ,65926.9 ,65674.6 ,64960.3 ,64419.6 ,66460.5 ,66859.3 ,67635.7 ,68124.5 ,69506.5 ,71419.1 ,73022.7 ,74253.6 ,76165.3 ,77240.3 
New Jersey,NJ,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,433367.0 ,448528.9 ,472786.5 ,476264.2 ,486924.3 ,499353.6 ,507222.7 ,513115.9 ,523842.5 ,526661.0 ,532724.6 ,510832.5 ,516400.5 ,510773.3 ,519569.0 ,526889.9 ,524420.4 ,535284.5 ,540380.3 ,540656.6 ,549000.8 ,556731.0 
New Mexico,NM,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,67071.2 ,70696.3 ,71960.2 ,72027.1 ,74241.5 ,77088.4 ,82784.5 ,83793.8 ,85852.3 ,86474.5 ,85937.9 ,87636.8 ,87053.8 ,87225.0 ,87644.8 ,86624.8 ,89372.2 ,91679.5 ,91713.9 ,91772.3 ,93870.9 ,98765.7 
New York,NY,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,996014.7 ,1046471.5 ,1084844.3 ,1107932.3 ,1098776.8 ,1101603.6 ,1129017.5 ,1167640.1 ,1196694.8 ,1203502.8 ,1177915.1 ,1221256.0 ,1267972.0 ,1270516.7 ,1323400.8 ,1325490.0 ,1347559.8 ,1372232.4 ,1397723.7 ,1424905.5 ,1467076.8 ,1490678.5 
North Carolina,NC,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,327708.6 ,345598.8 ,357823.8 ,360773.1 ,365828.8 ,374588.0 ,387840.1 ,406293.9 ,431796.2 ,436767.3 ,446612.8 ,427493.8 ,433916.7 ,438423.4 ,439539.7 ,445109.6 ,455295.7 ,469535.6 ,477523.8 ,489026.6 ,501955.0 ,511539.9 
North Dakota,ND,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,23732.2 ,23755.9 ,24653.3 ,25078.5 ,26404.4 ,27996.7 ,28255.5 ,29166.5 ,30371.3 ,31790.4 ,34304.4 ,35297.2 ,37974.9 ,42208.5 ,51624.6 ,52385.5 ,56554.6 ,55067.4 ,51137.3 ,51291.2 ,53472.8 ,53930.2 
Ohio,OH,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,488114.8 ,499141.6 ,509601.7 ,502294.2 ,514107.0 ,522440.1 ,534605.6 ,544256.4 ,541618.7 ,541676.4 ,533103.6 ,506691.3 ,520300.6 ,536583.2 ,540882.4 ,550692.3 ,571424.7 ,579943.2 ,585044.7 ,592725.7 ,606141.5 ,615474.4 
Oklahoma,OK,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,117847.1 ,119748.7 ,124234.5 ,128704.2 ,131054.0 ,132931.1 ,137086.0 ,142824.8 ,152481.9 ,155335.4 ,161437.0 ,159371.6 ,159534.9 ,165209.7 ,173238.8 ,176862.6 ,186307.0 ,193237.7 ,188063.3 ,188157.2 ,193204.7 ,197900.4 
Oregon,OR,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,124188.4 ,126886.3 ,137819.7 ,136691.8 ,139645.3 ,145500.1 ,152854.0 ,158368.7 ,167910.6 ,171016.6 ,173802.0 ,166581.6 ,169013.8 ,173881.1 ,174427.6 ,175811.6 ,181754.9 ,191864.2 ,201059.5 ,209581.3 ,219279.9 ,225336.8 
Pennsylvania,PA,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,509829.9 ,524701.8 ,538013.6 ,544612.8 ,549673.5 ,561781.4 ,576989.8 ,587274.2 ,591252.7 ,610285.2 ,623068.2 ,605016.9 ,622140.0 ,630906.6 ,640663.1 ,650802.3 ,666555.8 ,682527.0 ,691316.2 ,695560.8 ,708856.9 ,726165.9 
Rhode Island,RI,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,41920.3 ,43160.5 ,45252.1 ,45904.3 ,47584.9 ,49348.1 ,51553.5 ,52286.0 ,53492.4 ,51994.2 ,50412.0 ,50217.3 ,51364.7 ,51262.8 ,51607.4 ,51679.0 ,52005.5 ,52957.8 ,53030.2 ,52727.7 ,53135.5 ,53668.0 
South Carolina,SC,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,139902.7 ,146306.1 ,150403.1 ,151083.0 ,154711.8 ,160100.1 ,162209.0 ,166563.8 ,170333.5 ,174793.1 ,174565.8 ,166930.9 ,170151.9 ,174119.1 ,175328.5 ,178757.4 ,183579.7 ,190294.1 ,196477.4 ,202644.5 ,209012.5 ,214933.7 
South Dakota,SD,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,26511.1 ,27510.9 ,29399.2 ,29631.8 ,32767.8 ,33381.1 ,34383.5 ,35781.6 ,36393.5 ,38204.1 ,39454.1 ,39891.4 ,40367.3 ,42947.2 ,43550.7 ,43737.7 ,44449.7 ,45371.8 ,45733.6 ,46023.9 ,47287.0 ,47559.7 
Tennessee,TN,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,223901.3 ,230731.6 ,233697.5 ,232785.7 ,240535.8 ,247175.6 ,259206.0 ,264652.9 ,271344.5 ,268668.2 ,271927.5 ,262836.7 ,266473.5 ,274626.7 ,283482.0 ,287259.0 ,291661.7 ,302970.2 ,308157.4 ,314849.9 ,323316.8 ,328406.3 
Texas,TX,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,927742.2 ,963961.7 ,998148.9 ,1021693.4 ,1042350.8 ,1048182.1 ,1104047.5 ,1132550.4 ,1209018.2 ,1273882.1 ,1274662.1 ,1270964.6 ,1301808.3 ,1343700.8 ,1410447.8 ,1470464.6 ,1518613.7 ,1595969.5 ,1606579.8 ,1651329.5 ,1715231.0 ,1764357.2 
Utah,UT,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,85713.8 ,89291.6 ,92626.6 ,94102.6 ,95899.2 ,97639.9 ,102827.2 ,109278.2 ,118621.1 ,124508.8 ,123382.1 ,120997.5 ,123476.3 ,127216.9 ,128764.2 ,132169.1 ,136325.2 ,141602.0 ,147555.5 ,153986.0 ,162574.4 ,168792.7 
Vermont,VT,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,20705.4 ,21845.8 ,23022.8 ,23710.2 ,24452.8 ,25293.8 ,26554.2 ,26899.5 ,27126.3 ,26793.2 ,27426.3 ,26999.5 ,28116.1 ,28732.9 ,28893.6 ,28367.9 ,28510.1 ,28876.6 ,29206.3 ,29312.4 ,29565.4 ,29806.2 
Virginia,VA,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,315005.0 ,331118.0 ,346997.3 ,358918.3 ,362314.0 ,376191.2 ,393832.9 ,415610.6 ,423471.1 ,426911.6 ,427071.4 ,426182.7 ,437964.5 ,442260.6 ,445120.7 ,446625.0 ,446790.6 ,455830.0 ,460185.0 ,468125.4 ,478835.0 ,489168.4 
Washington,WA,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,288446.3 ,309918.3 ,312645.6 ,305511.9 ,310321.5 ,315728.1 ,321877.9 ,343111.9 ,356886.9 ,378291.5 ,382323.5 ,372813.1 ,381512.8 ,388099.0 ,400623.3 ,411468.9 ,426481.6 ,446628.3 ,463974.0 ,489435.0 ,524486.9 ,548686.7 
West Virginia,WV,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,60109.6 ,62110.3 ,62001.4 ,62016.6 ,62797.6 ,62938.6 ,63726.8 ,65586.0 ,66488.9 ,66512.3 ,67806.3 ,67646.4 ,68474.0 ,69577.2 ,69335.6 ,70121.2 ,69720.7 ,70332.7 ,69276.4 ,69743.2 ,71858.7 ,72340.4 
Wisconsin,WI,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,217403.2 ,226417.0 ,233212.3 ,236189.2 ,241068.4 ,247796.9 ,255891.9 ,262068.2 ,266660.1 ,268050.3 ,264524.7 ,257125.0 ,265116.5 ,270666.3 ,274540.5 ,275648.7 ,282031.2 ,288260.1 ,291320.5 ,294151.7 ,303767.4 ,308044.7 
Wyoming,WY,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,25756.1 ,26819.5 ,27676.7 ,29278.0 ,29917.0 ,30646.5 ,31566.8 ,33167.3 ,37582.2 ,40344.4 ,42640.4 ,41428.9 ,39842.9 ,39440.3 ,38437.7 ,38523.2 ,38711.1 ,39899.0 ,38079.7 ,37866.3 ,38696.3 ,39214.0 
