,KEY,DATETIME,ID,NAME,Wind_Speed_24,VMAX,LAT,LON,PER,SHRD,D200,RHLO,SDBT,POT,PC2,SHRD2,SHRG,DIVC,U200,EPSS,ENSS,TPWC,PC1,SDBT2,TBMX,RSST,storm name,landfall date,damage ranke,current damage($ 2020),base damage,landfall state,category,winds(MPH)
50,BERY-1982,1982-09-05 18:00:00,AL031982,BERY,,30.0,19.5,-59.7,5.0,25.6,40.0,58.0,,-100.0,,21.8,26.4,43.0,10.3,5.6,2.8,53.8,,,,28.2,,,,,,,,
51,BERY-1982,1982-09-06 00:00:00,AL031982,BERY,,30.0,19.7,-61.0,5.0,20.6,18.0,60.0,,-99.0,,19.9,27.0,12.0,6.5,6.1,2.7,52.4,,,,28.2,,,,,,,,
52,BERY-1982,1982-09-06 06:00:00,AL031982,BERY,,30.0,19.8,-62.3,0.0,14.4,44.0,60.0,,-101.0,,17.5,26.3,39.0,4.6,6.0,2.7,50.5,,,,28.2,,,,,,,,
53,BERY-1982,1982-09-06 12:00:00,AL031982,BERY,,25.0,20.0,-63.6,-5.0,7.9,15.0,62.0,,-108.0,,13.1,20.7,39.0,0.0,5.4,2.8,50.4,,,,28.2,,,,,,,,
54,CHRI-1982,1982-09-09 00:00:00,AL051982,CHRI,30.0,25.0,26.2,-91.0,,15.2,67.0,68.0,,-137.0,,14.8,18.7,45.0,2.6,2.3,3.6,50.2,,,,29.6,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
55,CHRI-1982,1982-09-09 00:00:00,AL051982,CHRI,30.0,25.0,26.2,-91.0,,15.2,67.0,68.0,,-137.0,,14.8,18.7,45.0,2.6,2.3,3.6,50.2,,,,29.6,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
56,CHRI-1982,1982-09-09 06:00:00,AL051982,CHRI,30.0,25.0,26.3,-91.7,,13.2,8.0,69.0,,-140.0,,17.7,21.8,5.0,8.5,0.7,4.0,49.6,,,,29.5,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
57,CHRI-1982,1982-09-09 06:00:00,AL051982,CHRI,30.0,25.0,26.3,-91.7,,13.2,8.0,69.0,,-140.0,,17.7,21.8,5.0,8.5,0.7,4.0,49.6,,,,29.5,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
58,CHRI-1982,1982-09-09 12:00:00,AL051982,CHRI,35.0,25.0,26.4,-92.3,0.0,8.3,6.0,70.0,,-145.0,,11.9,12.6,-5.0,6.8,0.0,4.2,51.6,,,,29.6,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
59,CHRI-1982,1982-09-09 12:00:00,AL051982,CHRI,35.0,25.0,26.4,-92.3,0.0,8.3,6.0,70.0,,-145.0,,11.9,12.6,-5.0,6.8,0.0,4.2,51.6,,,,29.6,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
60,CHRI-1982,1982-09-09 18:00:00,AL051982,CHRI,45.0,30.0,26.6,-93.0,5.0,9.4,12.0,68.0,,-132.0,,5.8,8.1,10.0,1.1,1.6,4.8,53.1,,,,29.6,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
61,CHRI-1982,1982-09-09 18:00:00,AL051982,CHRI,45.0,30.0,26.6,-93.0,5.0,9.4,12.0,68.0,,-132.0,,5.8,8.1,10.0,1.1,1.6,4.8,53.1,,,,29.6,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
62,CHRI-1982,1982-09-10 00:00:00,AL051982,CHRI,50.0,30.0,26.8,-93.1,5.0,21.0,15.0,65.0,,-129.0,,13.4,17.3,11.0,2.4,2.5,4.7,51.8,,,,29.6,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
63,CHRI-1982,1982-09-10 00:00:00,AL051982,CHRI,50.0,30.0,26.8,-93.1,5.0,21.0,15.0,65.0,,-129.0,,13.4,17.3,11.0,2.4,2.5,4.7,51.8,,,,29.6,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
64,CHRI-1982,1982-09-10 06:00:00,AL051982,CHRI,50.0,30.0,26.9,-94.0,0.0,14.1,7.0,63.0,,-134.0,,14.9,21.6,-8.0,10.9,0.1,5.7,52.8,,,,29.5,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
65,CHRI-1982,1982-09-10 06:00:00,AL051982,CHRI,50.0,30.0,26.9,-94.0,0.0,14.1,7.0,63.0,,-134.0,,14.9,21.6,-8.0,10.9,0.1,5.7,52.8,,,,29.5,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
66,CHRI-1982,1982-09-10 12:00:00,AL051982,CHRI,55.0,35.0,27.3,-94.2,5.0,7.2,-17.0,61.0,,-132.0,,13.4,16.2,-9.0,12.1,0.0,6.0,53.3,,,,29.5,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
67,CHRI-1982,1982-09-10 12:00:00,AL051982,CHRI,55.0,35.0,27.3,-94.2,5.0,7.2,-17.0,61.0,,-132.0,,13.4,16.2,-9.0,12.1,0.0,6.0,53.3,,,,29.5,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
68,CHRI-1982,1982-09-10 18:00:00,AL051982,CHRI,40.0,45.0,27.9,-94.1,15.0,5.7,19.0,61.0,,-110.0,,9.5,13.2,12.0,7.6,3.1,5.1,53.3,,,,29.5,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
69,CHRI-1982,1982-09-10 18:00:00,AL051982,CHRI,40.0,45.0,27.9,-94.1,15.0,5.7,19.0,61.0,,-110.0,,9.5,13.2,12.0,7.6,3.1,5.1,53.3,,,,29.5,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
70,CHRI-1982,1982-09-11 00:00:00,AL051982,CHRI,30.0,50.0,28.4,-94.1,15.0,9.2,0.0,58.0,,-102.0,,14.8,21.0,16.0,11.8,3.1,5.8,52.4,,,,29.5,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
71,CHRI-1982,1982-09-11 00:00:00,AL051982,CHRI,30.0,50.0,28.4,-94.1,15.0,9.2,0.0,58.0,,-102.0,,14.8,21.0,16.0,11.8,3.1,5.8,52.4,,,,29.5,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
72,CHRI-1982,1982-09-11 06:00:00,AL051982,CHRI,30.0,50.0,29.0,-94.0,5.0,14.2,6.0,59.0,,-113.0,,19.4,27.3,9.0,15.2,1.0,5.4,55.1,,,,29.5,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
73,CHRI-1982,1982-09-11 06:00:00,AL051982,CHRI,30.0,50.0,29.0,-94.0,5.0,14.2,6.0,59.0,,-113.0,,19.4,27.3,9.0,15.2,1.0,5.4,55.1,,,,29.5,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
74,CHRI-1982,1982-09-11 12:00:00,AL051982,CHRI,30.0,55.0,29.8,-93.8,5.0,8.9,2.0,63.0,,-108.0,,18.6,23.1,10.0,17.2,0.9,4.5,56.1,,,,29.4,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
75,CHRI-1982,1982-09-11 12:00:00,AL051982,CHRI,30.0,55.0,29.8,-93.8,5.0,8.9,2.0,63.0,,-108.0,,18.6,23.1,10.0,17.2,0.9,4.5,56.1,,,,29.4,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
76,CHRI-1982,1982-09-11 18:00:00,AL051982,CHRI,25.0,40.0,30.8,-93.4,,8.9,18.0,64.0,,-93.0,,15.5,21.4,3.0,15.7,4.8,4.3,56.8,,,,28.6,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
77,CHRI-1982,1982-09-11 18:00:00,AL051982,CHRI,25.0,40.0,30.8,-93.4,,8.9,18.0,64.0,,-93.0,,15.5,21.4,3.0,15.7,4.8,4.3,56.8,,,,28.6,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
78,CHRI-1982,1982-09-12 00:00:00,AL051982,CHRI,,30.0,31.8,-93.2,,5.2,42.0,64.0,,-68.0,,15.1,23.5,32.0,15.1,5.7,4.8,57.4,,,,27.0,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
79,CHRI-1982,1982-09-12 00:00:00,AL051982,CHRI,,30.0,31.8,-93.2,,5.2,42.0,64.0,,-68.0,,15.1,23.5,32.0,15.1,5.7,4.8,57.4,,,,27.0,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
80,CHRI-1982,1982-09-12 06:00:00,AL051982,CHRI,,30.0,32.8,-92.8,,16.2,33.0,65.0,,-63.0,,16.3,25.9,16.0,16.1,1.9,4.9,57.7,,,,25.8,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
81,CHRI-1982,1982-09-12 06:00:00,AL051982,CHRI,,30.0,32.8,-92.8,,16.2,33.0,65.0,,-63.0,,16.3,25.9,16.0,16.1,1.9,4.9,57.7,,,,25.8,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
82,CHRI-1982,1982-09-12 12:00:00,AL051982,CHRI,,30.0,33.8,-92.4,,17.7,12.0,69.0,,-37.0,,17.1,25.1,15.0,21.6,1.4,4.8,54.3,,,,24.8,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
83,CHRI-1982,1982-09-12 12:00:00,AL051982,CHRI,,30.0,33.8,-92.4,,17.7,12.0,69.0,,-37.0,,17.1,25.1,15.0,21.6,1.4,4.8,54.3,,,,24.8,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
84,CHRI-1982,1982-09-12 18:00:00,AL051982,CHRI,,25.0,34.8,-91.8,,17.0,30.0,73.0,,3.0,,13.6,21.5,18.0,17.8,5.5,4.6,54.2,,,,24.0,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
85,CHRI-1982,1982-09-12 18:00:00,AL051982,CHRI,,25.0,34.8,-91.8,,17.0,30.0,73.0,,3.0,,13.6,21.5,18.0,17.8,5.5,4.6,54.2,,,,24.0,Chris,"Sep 11,1982",242.0,3000000.0,2000000.0,LA,TS,65.0
86,DEBB-1982,1982-09-13 12:00:00,AL061982,DEBB,35.0,30.0,19.8,-69.5,,17.1,34.0,67.0,23.20000035,-116.0,99.0,18.1,23.6,26.0,1.1,4.3,2.4,58.4,1.0,309.0,10.6,28.9,,,,,,,,
87,DEBB-1982,1982-09-13 18:00:00,AL061982,DEBB,55.0,30.0,20.8,-70.2,,16.5,50.0,66.0,30.20000045,-108.0,29.0,15.8,20.3,62.0,0.9,5.8,2.5,60.3,1.0,310.0,-26.1,28.8,,,,,,,,
88,DEBB-1982,1982-09-14 00:00:00,AL061982,DEBB,65.0,30.0,21.5,-71.0,0.0,16.9,26.0,65.0,28.60000043,-110.0,35.0,17.0,20.8,30.0,5.6,5.4,2.4,58.5,1.0,275.0,0.7,28.8,,,,,,,,
89,DEBB-1982,1982-09-14 06:00:00,AL061982,DEBB,65.0,30.0,22.4,-71.8,0.0,20.7,23.0,67.0,28.40000042,-112.0,23.0,18.8,23.5,18.0,8.7,4.6,2.5,58.3,0.0,347.0,-30.6,28.7,,,,,,,,
90,DEBB-1982,1982-09-14 12:00:00,AL061982,DEBB,75.0,35.0,23.5,-71.9,5.0,8.7,40.0,66.0,30.00000045,-110.0,31.0,14.2,18.1,64.0,7.2,4.5,2.5,57.2,1.0,357.0,-39.9,28.8,,,,,,,,
91,DEBB-1982,1982-09-14 18:00:00,AL061982,DEBB,90.0,55.0,24.6,-71.8,25.0,13.3,39.0,64.0,19.60000029,-82.0,-60.0,11.2,16.9,46.0,8.2,5.9,2.6,58.6,1.0,301.0,-63.5,28.8,,,,,,,,
92,DEBB-1982,1982-09-15 00:00:00,AL061982,DEBB,95.0,65.0,25.6,-71.0,30.0,17.9,53.0,62.0,10.70000016,-74.0,-83.0,16.2,24.4,71.0,13.0,6.0,2.5,59.3,1.0,207.0,-66.2,28.9,,,,,,,,
93,DEBB-1982,1982-09-15 06:00:00,AL061982,DEBB,95.0,65.0,26.7,-70.3,10.0,17.2,47.0,59.0,13.80000021,-77.0,-15.0,16.1,22.9,61.0,17.0,5.5,2.6,61.5,0.0,203.0,-61.3,28.9,,,,,,,,
94,DEBB-1982,1982-09-15 12:00:00,AL061982,DEBB,95.0,75.0,27.8,-69.6,10.0,19.4,32.0,60.0,7.40000011,-66.0,-53.0,17.4,21.5,25.0,19.7,4.9,2.8,58.5,1.0,177.0,-69.7,28.6,,,,,,,,
95,DEBB-1982,1982-09-15 18:00:00,AL061982,DEBB,95.0,90.0,29.0,-68.5,25.0,9.8,77.0,64.0,8.100000121,-45.0,-53.0,9.8,13.7,54.0,13.2,5.0,3.1,61.2,1.0,166.0,-59.7,28.3,,,,,,,,
96,DEBB-1982,1982-09-16 00:00:00,AL061982,DEBB,95.0,95.0,30.5,-67.5,20.0,19.0,75.0,60.0,11.80000018,-34.0,-29.0,15.1,19.1,20.0,16.5,3.0,3.5,54.2,1.0,171.0,-46.0,27.7,,,,,,,,
97,DEBB-1982,1982-09-16 06:00:00,AL061982,DEBB,95.0,95.0,32.1,-66.7,5.0,16.0,18.0,63.0,11.80000018,-28.0,8.0,16.0,16.8,-22.0,16.7,2.6,3.4,56.0,0.0,186.0,-34.9,27.2,,,,,,,,
98,DEBB-1982,1982-09-16 12:00:00,AL061982,DEBB,95.0,95.0,33.6,-65.8,0.0,19.3,32.0,66.0,14.20000021,-21.0,-34.0,13.1,15.2,48.0,13.2,2.8,3.4,56.4,1.0,240.0,-57.6,26.8,,,,,,,,
99,DEBB-1982,1982-09-16 18:00:00,AL061982,DEBB,100.0,95.0,35.1,-65.6,0.0,10.0,63.0,66.0,17.40000026,-11.0,6.0,11.0,14.2,87.0,13.9,1.0,3.5,55.5,1.0,216.0,-38.6,26.6,,,,,,,,
100,DEBB-1982,1982-09-17 00:00:00,AL061982,DEBB,115.0,95.0,36.4,-65.6,0.0,12.3,43.0,67.0,19.70000029,-21.0,41.0,17.1,20.6,68.0,19.8,0.0,4.9,51.8,1.0,215.0,-29.4,27.2,,,,,,,,
101,DEBB-1982,1982-09-17 06:00:00,AL061982,DEBB,110.0,95.0,36.8,-65.6,0.0,11.3,20.0,65.0,18.80000028,-23.0,22.0,17.4,20.2,32.0,20.4,0.0,5.5,54.2,0.0,215.0,-28.3,27.3,,,,,,,,
102,DEBB-1982,1982-09-17 12:00:00,AL061982,DEBB,110.0,95.0,37.1,-65.0,0.0,16.3,53.0,66.0,14.20000021,-21.0,-8.0,18.5,20.9,55.0,19.4,0.0,5.9,58.0,1.0,173.0,-59.4,27.2,,,,,,,,
103,DEBB-1982,1982-09-17 18:00:00,AL061982,DEBB,100.0,100.0,37.6,-63.5,5.0,11.7,52.0,64.0,15.30000023,3.0,2.0,14.9,19.6,30.0,19.0,0.0,5.9,59.3,1.0,200.0,-37.9,26.3,,,,,,,,
104,DEBB-1982,1982-09-18 00:00:00,AL061982,DEBB,90.0,115.0,38.8,-62.3,20.0,20.6,72.0,59.0,8.300000124,29.0,-1.0,22.0,27.6,81.0,23.7,0.0,9.1,56.5,1.0,167.0,13.8,25.5,,,,,,,,
105,DEBB-1982,1982-09-18 06:00:00,AL061982,DEBB,75.0,110.0,40.1,-60.7,10.0,19.1,91.0,58.0,7.9000001179999995,42.0,-6.0,22.4,27.8,100.0,25.9,0.0,12.0,56.7,0.0,113.0,1.6,24.2,,,,,,,,
